AREA	SUBID	MAINDOWN	ROWNR	ELEV_MEAN	SLOPE_MEAN	RIVLEN	REGION	SLC_1	SLC_2	SLC_3	SLC_4	SLC_5	SLC_6	SLC_7	SLC_8	SLC_9	SLC_10	SLC_11	SLC_12	SLC_13	SLC_14	SLC_15	SLC_16	SLC_17	SLC_18	SLC_19	SLC_20	SLC_21	SLC_22	SLC_23	SLC_24	SLC_25	SLC_26	SLC_27	SLC_28	SLC_29	SLC_30	SLC_31	SLC_32	SLC_33	SLC_34	SLC_35	SLC_36	SLC_37	SLC_38	SLC_39	SLC_40	SLC_41	SLC_42	SLC_43	SLC_44	SLC_45	SLC_46	SLC_47	SLC_48
173557	32	36	32	798.2291007	11.40802017	299.048773	40	0	0.008337319	0	0.003186273	0	0	0	0	0	0	0	0	0	0.39996082	0	0.383666461	0	0	0	0	0	0	0	0	0	0	0	0.007738092	0	0	0	0.087504393	0	0.021410833	0	0	0	0.060879135	0	0.027316674	0	0	0	0	0	0	0	0
613970	33	34	33	914.2313758	18.89203897	479.839141	40	0	0	0	0	0	0	0	0	0	0	0	0	2.76886E-05	0.114867176	0	0.204809681	0	0	0.019869049	0.256631432	3.74611E-05	0.009987459	0	0	0.002213463	0.006905875	0	0.002965943	0	0	0	0.003835692	0	0	0	0	0.031729563	0.324805772	0	0.021313745	0	0	0	0	0	0	0	0
23423	34	39	34	802.1768355	9.88438569	157.852814	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0.154847799	0	0.814071639	0	0	0	0	0	0	0	0	0	0	0	0.031080562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
988502	35	36	35	828.060126	10.99346267	1295.897149	40	0	0.004717215	0	0.000225593	0	0	0	0.000761755	0	0.001570045	0	0	0	0.345017284	0	0.363868946	0	0	0	0.024685713	0	0.000186139	0	0	0	0.00960843	0	0.003707612	0	0	0	0.010161789	0	0.00488818	0	0	0	0.182941547	0	0.047659754	0	0	0	0	0	0	0	0
246746	36	45	36	798.317408	13.47853949	466.984848	40	0	0.009536122	0	0.002216855	0	0	0	0	0	0	0	0	0	0.502480283	0	0.359920728	0	0	0	0.001082084	0	0	0	0	0	0.017066133	0	0	0	0	0	0.015943521	0	0.004283757	0	0	0	0.086291166	0	0.00117935	0	0	0	0	0	0	0	0
287067	38	40	37	927.3495769	19.56282124	257.9386	40	0	0	0	0	0	0	0	0	0	0	0	0	0.01255456	0.066897275	0	0.160568787	0	0	0.022660215	0.194114963	0	0	0	0	0.000379702	0.009900128	0	0	0	0	0	0.003497441	0	0	0	0	0.07787729	0.406960744	0	0.044588894	0	0	0	0	0	0	0	0
431451	43	40	43	894.3131939	16.46847646	378.436075	40	0	0	0	0	0	0	0	0	0	0	0	0	0.000275813	0.119911647	0	0.241786437	0	0	0.012703644	0.081508677	0	0	0	0	0	0.009681285	0	0.002285312	0	0	0	0.005333166	0	0	0	0	0.028346208	0.344604602	0	0.153563209	0	0	0	0	0	0	0	0
327829	44	41	44	840.8102748	14.51884536	99.760931	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0.349715858	0	0.425877515	0	0	0	0	0	0	0	0	0	0.018131404	0	0.016529959	0	0	0	0.004804334	0	0.001982741	0	0	0	0.156493172	0	0.026465017	0	0	0	0	0	0	0	0
315533	40	41	38	855.1579624	13.51055793	280.124892	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0.314993994	0	0.220404839	0	0	0	0.013615058	0	0	0	0	0	0.004503491	0	0.016156789	0	0	0	0.007108607	0	0.001480035	0	0	0	0.421692818	0	4.43694E-05	0	0	0	0	0	0	0	0
145462	41	39	39	868.1241805	16.612084	201.267027	40	0	0	0	0	0	0	0	0	0	0	0	0	0.010009487	0.156226368	0	0.48945429	0	0	0.058860733	0.069777674	0	0	0	0	0	0	0	0.012752471	0	0	0	0.000646217	0	0.009473264	0	0	0.07230067	0.101517922	0	0.018980902	0	0	0	0	0	0	0	0
44409	39	37	40	802.9646618	10.21940702	215.740115	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0.537098336	0	0.420883154	0	0	0	0	0	0	0	0	0	0	0	0.04201851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
362168	37	42	41	810.04343	10.26558428	409.592929	40	0	0.000187758	0	0.005583044	0	0	0	0.003244351	0	0.001789225	0	0	0	0.449098209	0	0.429124053	0	0	0	0	0	0	0	0	0	0.03242694	0	0.014106713	0	0	0	0	0	0.011652051	0	0	0	0.031275541	0	0.021512116	0	0	0	0	0	0	0	0
228161	42	47	42	792.6489557	11.42306914	760.385389	40	0	0.007297479	0	0.001507707	0	0	0	0	0	0	0	0	0	0.625483759	0	0.098491854	0	0	0	0	0	0	0	0	0	0.025863316	0	0	0	0	0	0.013082867	0	0.036807342	0	0	0	0.153137477	0	0.032389409	0	0	0	0.001135163	0	0.004803626	0	0
152537	45	46	45	784.9160102	14.64351215	560.67114	40	0	0.004346486	0	0.007722716	0	0	0	0	0	0	0	0	0.002150298	0.616650386	0	0.243849033	0	0	0	0	0	0	0	0	0	0.053718114	0	0.018788884	0	0	0.003710575	0.027901427	0	0	0	0	0	0.016527138	0	0.001101372	0	0	0	0	0	0.003533569	0	0
244	46	47	46	766.3173958	46.75456304	17.778175	40	0	0	0	0.237704918	0	0	0	0	0	0	0	0	0	0	0	0.143442623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43442623	0	0	0	0	0	0.18442623	0	0
1	47	0	47	749	80.99453735	1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
